ANNEE,MOIS,JOUR,NB_PIECES,TYPE,STANDING,COMMUNE,QUARTIER,LOYER,LIEN
2023.0,1.0,12.0,9.0,Maison,Economique,Cocody/Riviera,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3506449076253641/?sale_post_id=3506449076253641
2023.0,1.0,5.0,7.0,Maison,Economique,Cocody/Riviera,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3501210296777519/?sale_post_id=3501210296777519
2023.0,1.0,29.0,8.0,Maison,Economique,Cocody/Riviera,Mbadon,350000,https://web.facebook.com/groups/1558562987708936/permalink/3520883104810238/?sale_post_id=3520883104810238
2023.0,1.0,23.0,7.0,Maison,Haut,Cocody/Riviera,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3515743365324212/?sale_post_id=3515743365324212
2023.0,1.0,18.0,,Maison,Haut,Cocody/Riviera,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3511302349101647/?sale_post_id=3511302349101647
2021.0,2.0,21.0,,Appartement,Economique,Cocody/Riviera,Mbadon,140000,https://web.facebook.com/groups/1558562987708936/permalink/3537414103157138/?sale_post_id=3537414103157138
2022.0,2.0,21.0,[],Appartement,Moyen,Cocody/Riviera,Mbadon,350000000,https://web.facebook.com/groups/1558562987708936/permalink/3538377576394124/?sale_post_id=3538377576394124
2023.0,1.0,11.0,4,Appartement,Haut,Cocody/Riviera,Mbadon,800000000,https://web.facebook.com/groups/1558562987708936/permalink/3505681656330383/?sale_post_id=3505681656330383
2023.0,2.0,20.0,,Maison,Moyen,Cocody/Riviera,Mbadon,300000000,https://web.facebook.com/groups/1558562987708936/permalink/3539017709663444/?sale_post_id=3539017709663444
2023.0,1.0,8.0,8,Maison,Haut,Cocody/Riviera,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3503722076526341/?sale_post_id=3503722076526341
2023.0,1.0,17.0,4,Appartement,Economique,Cocody/Riviera,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3510737945824754/?sale_post_id=3510737945824754
2023.0,1.0,9.0,7,Maison,Haut,Cocody/Riviera,Mbadon,3000000000,https://web.facebook.com/groups/1558562987708936/permalink/3504022816496267/?sale_post_id=3504022816496267
2023.0,2.0,2.0,4,Maison,Haut,Cocody/Riviera,Mbadon,700000000,https://web.facebook.com/groups/1558562987708936/permalink/3524279184470630/?sale_post_id=3524279184470630
2023.0,1.0,28.0,,Maison,Economique,Cocody/Riviera,Mbadon,200000,https://web.facebook.com/groups/1558562987708936/permalink/3519789494919599/?sale_post_id=3519789494919599
2023.0,2.0,6.0,20,Maison,Haut,Cocody/Riviera,Mbadon,1000000000,https://web.facebook.com/groups/1558562987708936/permalink/3527206777511204/?sale_post_id=3527206777511204
2023.0,1.0,9.0,2,Maison,Economique,Cocody/Riviera,Mbadon,130000000,https://web.facebook.com/groups/1558562987708936/permalink/3503994703165745/?sale_post_id=3503994703165745
2023.0,1.0,25.0,4,Maison,Haut,Cocody/Riviera,Mbadon,750000000,https://web.facebook.com/groups/1558562987708936/permalink/3517613575137191/?sale_post_id=3517613575137191
2023.0,2.0,5.0,4,Maison,Haut,Cocody/Riviera,Mbadon,700000000,https://web.facebook.com/groups/1558562987708936/permalink/3526682460896969/?sale_post_id=3526682460896969
2023.0,1.0,4.0,8,Maison,Haut,Cocody/Riviera,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3500169830214899/?sale_post_id=3500169830214899
2020.0,2.0,21.0,5,Appartement,Haut,Cocody/Riviera,Mbadon,1400000000,https://web.facebook.com/groups/1558562987708936/permalink/3536951423203406/?sale_post_id=3536951423203406
2023.0,1.0,27.0,4,Maison,Haut,Cocody/Riviera,Mbadon,750000000,https://web.facebook.com/groups/1558562987708936/permalink/3518729621692253/?sale_post_id=3518729621692253
2023.0,2.0,5.0,4,Maison,Economique,Cocody/Riviera,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3526615517570330/?sale_post_id=3526615517570330
2023.0,1.0,19.0,,Maison,Moyen,Cocody/Riviera,Mbadon,385000000,https://web.facebook.com/groups/1558562987708936/permalink/3512117762353439/?sale_post_id=3512117762353439
2023.0,1.0,24.0,4,Maison,Haut,Cocody/Riviera,Mbadon,750000000,https://web.facebook.com/groups/1558562987708936/permalink/3516628661902349/?sale_post_id=3516628661902349
2023.0,2.0,4.0,4,Maison,Moyen,Cocody/Riviera,Mbadon,500000000,https://web.facebook.com/groups/1558562987708936/permalink/3525428781022337/?sale_post_id=3525428781022337
2023.0,2.0,2.0,4,Appartement,Haut,Cocody/Riviera,Mbadon,800000000,https://web.facebook.com/groups/1558562987708936/permalink/3523799047851977/?sale_post_id=3523799047851977
2022.0,2.0,21.0,,Maison,Haut,Cocody/Riviera,Mbadon,1200000000,https://web.facebook.com/groups/1558562987708936/permalink/3538386836393198/?sale_post_id=3538386836393198
2023.0,1.0,17.0,3,Appartement,Moyen,Cocody/Riviera,Mbadon,450000000,https://web.facebook.com/groups/1558562987708936/permalink/3510579949173887/?sale_post_id=3510579949173887
2023.0,1.0,4.0,,Maison,Moyen,Cocody/Riviera,Mbadon,450000000,https://web.facebook.com/groups/1558562987708936/permalink/3500004476898101/?sale_post_id=3500004476898101
